Timestamp,AX,AY,AZ
2025-06-18 16:34:13.850,0.08,0.38,9.79
2025-06-18 16:34:13.113,0.08,0.39,9.8
2025-06-18 16:34:13.131,0.08,0.39,9.8
2025-06-18 16:34:13.150,0.08,0.38,9.79
2025-06-18 16:34:13.169,0.08,0.38,9.79
2025-06-18 16:34:13.187,0.09,0.39,9.79
2025-06-18 16:34:13.206,0.09,0.39,9.79
2025-06-18 16:34:13.252,0.09,0.38,9.79
2025-06-18 16:34:13.290,0.08,0.39,9.79
2025-06-18 16:34:13.309,0.08,0.39,9.8
2025-06-18 16:34:13.328,0.08,0.38,9.79
2025-06-18 16:34:13.347,0.08,0.39,9.79
2025-06-18 16:34:13.393,0.08,0.38,9.79
2025-06-18 16:34:13.412,0.08,0.39,9.79
2025-06-18 16:34:13.430,0.08,0.38,9.8
2025-06-18 16:34:13.449,0.08,0.38,9.8
2025-06-18 16:34:13.467,0.09,0.39,9.8
2025-06-18 16:34:13.495,0.09,0.39,9.8
2025-06-18 16:34:13.514,0.08,0.38,9.8
2025-06-18 16:34:13.532,0.08,0.38,9.8
2025-06-18 16:34:13.551,0.08,0.38,9.8
2025-06-18 16:34:13.570,0.08,0.38,9.8
2025-06-18 16:34:13.588,0.08,0.39,9.79
2025-06-18 16:34:13.607,0.08,0.39,9.79
2025-06-18 16:34:13.635,0.09,0.39,9.79
2025-06-18 16:34:13.653,0.09,0.39,9.79
2025-06-18 16:34:13.672,0.08,0.39,9.8
2025-06-18 16:34:13.690,0.08,0.39,9.8
2025-06-18 16:34:13.709,0.08,0.39,9.8
2025-06-18 16:34:13.728,0.08,0.39,9.8
2025-06-18 16:34:13.774,0.08,0.39,9.8
2025-06-18 16:34:13.793,0.09,0.38,9.8
2025-06-18 16:34:13.830,0.09,0.38,9.8
2025-06-18 16:34:13.849,0.09,0.38,9.79
2025-06-18 16:34:13.877,0.08,0.39,9.79
2025-06-18 16:34:13.895,0.08,0.39,9.8
2025-06-18 16:34:13.914,0.08,0.39,9.8
2025-06-18 16:34:13.932,0.08,0.39,9.79
2025-06-18 16:34:13.951,0.08,0.39,9.79
2025-06-18 16:34:13.970,0.09,0.39,9.79
2025-06-18 16:34:13.997,0.09,0.39,9.79
2025-06-18 16:34:14.160,0.08,0.38,9.8
2025-06-18 16:34:14.350,0.08,0.38,9.8
2025-06-18 16:34:14.530,0.09,0.39,9.79
2025-06-18 16:34:14.720,0.09,0.39,9.79
2025-06-18 16:34:14.900,0.09,0.38,9.8
2025-06-18 16:34:14.109,0.09,0.38,9.8
2025-06-18 16:34:14.137,0.08,0.39,9.79
2025-06-18 16:34:14.155,0.08,0.39,9.79
2025-06-18 16:34:14.174,0.09,0.38,9.8
2025-06-18 16:34:14.193,0.09,0.38,9.8
