Timestamp,LC_SPS,Accel_SPS
2025-06-18 16:58:17,107,44
2025-06-18 16:58:18,108,43
2025-06-18 16:58:19,107,46
2025-06-18 16:58:20,107,42
2025-06-18 16:58:21,108,45
2025-06-18 16:58:22,107,42
2025-06-18 16:58:23,108,45
2025-06-18 16:58:24,107,42
2025-06-18 16:58:25,107,47
2025-06-18 16:58:26,108,43
2025-06-18 16:58:27,107,43
2025-06-18 16:58:28,108,44
2025-06-18 16:58:29,107,40
2025-06-18 16:58:30,107,45
2025-06-18 16:58:31,108,43
2025-06-18 16:58:32,107,46
2025-06-18 16:58:33,108,46
2025-06-18 16:58:34,107,41
2025-06-18 16:58:35,107,41
2025-06-18 16:58:36,108,43
2025-06-18 16:58:37,107,44
2025-06-18 16:58:38,108,45
2025-06-18 16:58:39,107,44
2025-06-18 16:58:40,107,44
2025-06-18 16:58:41,108,47
2025-06-18 16:58:42,107,43
2025-06-18 16:58:43,108,44
2025-06-18 16:58:44,107,42
2025-06-18 16:58:45,108,44
2025-06-18 16:58:46,107,43
2025-06-18 16:58:47,107,43
2025-06-18 16:58:48,108,43
2025-06-18 16:58:49,107,44
2025-06-18 16:58:50,108,46
2025-06-18 16:58:51,107,45
2025-06-18 16:58:52,108,45
2025-06-18 16:58:53,107,42
2025-06-18 16:58:54,107,46
2025-06-18 16:58:55,108,46
2025-06-18 16:58:56,107,46
2025-06-18 16:58:57,107,44
2025-06-18 16:58:58,108,45
2025-06-18 16:58:59,107,44
2025-06-18 16:59:00,107,44
2025-06-18 16:59:01,108,43
2025-06-18 16:59:02,107,45
2025-06-18 16:59:03,107,44
2025-06-18 16:59:04,108,45
2025-06-18 16:59:05,107,42
2025-06-18 16:59:06,108,45
2025-06-18 16:59:07,107,43
2025-06-18 16:59:08,108,43
2025-06-18 16:59:09,107,43
2025-06-18 16:59:10,108,45
2025-06-18 16:59:11,107,45
2025-06-18 16:59:12,107,46
2025-06-18 16:59:13,108,43
2025-06-18 16:59:14,107,45
2025-06-18 16:59:15,108,44
2025-06-18 16:59:16,107,43
2025-06-18 16:59:17,108,45
2025-06-18 16:59:18,107,43
2025-06-18 16:59:19,107,41
2025-06-18 16:59:20,108,44
2025-06-18 16:59:21,107,44
2025-06-18 16:59:22,108,45
2025-06-18 16:59:23,107,46
2025-06-18 16:59:24,107,47
2025-06-18 16:59:25,108,44
2025-06-18 16:59:26,107,42
2025-06-18 16:59:27,107,45
2025-06-18 16:59:28,108,44
2025-06-18 16:59:29,107,45
2025-06-18 16:59:30,108,45
2025-06-18 16:59:31,107,45
2025-06-18 16:59:32,107,45
2025-06-18 16:59:33,108,44
2025-06-18 16:59:34,107,41
2025-06-18 16:59:35,108,43
2025-06-18 16:59:36,107,45
2025-06-18 16:59:37,108,44
2025-06-18 16:59:38,107,44
2025-06-18 16:59:39,108,41
2025-06-18 16:59:40,107,45
2025-06-18 16:59:41,108,42
2025-06-18 16:59:42,107,40
2025-06-18 16:59:43,107,41
2025-06-18 16:59:44,108,44
2025-06-18 16:59:45,107,43
2025-06-18 16:59:46,108,44
2025-06-18 16:59:47,107,45
2025-06-18 16:59:48,108,41
2025-06-18 16:59:49,107,43
2025-06-18 16:59:50,107,43
2025-06-18 16:59:51,108,44
2025-06-18 16:59:52,107,43
2025-06-18 16:59:53,108,46
2025-06-18 16:59:54,107,45
2025-06-18 16:59:55,108,45
2025-06-18 16:59:56,107,46
2025-06-18 16:59:57,108,43
2025-06-18 16:59:58,107,44
2025-06-18 16:59:59,107,45
2025-06-18 17:00:00,108,41
2025-06-18 17:00:01,107,44
2025-06-18 17:00:02,108,45
2025-06-18 17:00:03,107,44
2025-06-18 17:00:04,108,44
2025-06-18 17:00:05,107,42
2025-06-18 17:00:06,107,47
2025-06-18 17:00:07,108,43
2025-06-18 17:00:08,108,44
2025-06-18 17:00:09,107,43
2025-06-18 17:00:10,108,44
2025-06-18 17:00:11,107,43
2025-06-18 17:00:12,107,45
2025-06-18 17:00:13,108,43
2025-06-18 17:00:14,107,43
2025-06-18 17:00:15,108,45
2025-06-18 17:00:16,107,44
2025-06-18 17:00:17,108,44
2025-06-18 17:00:18,107,44
2025-06-18 17:00:19,107,43
2025-06-18 17:00:20,108,45
2025-06-18 17:00:21,107,44
2025-06-18 17:00:22,108,44
2025-06-18 17:00:23,107,44
2025-06-18 17:00:24,108,45
2025-06-18 17:00:25,107,44
2025-06-18 17:00:26,107,44
2025-06-18 17:00:27,108,44
2025-06-18 17:00:28,108,44
2025-06-18 17:00:29,107,44
2025-06-18 17:00:30,107,43
2025-06-18 17:00:31,108,44
2025-06-18 17:00:32,107,45
2025-06-18 17:00:33,107,43
2025-06-18 17:00:34,108,44
2025-06-18 17:00:35,107,44
2025-06-18 17:00:36,108,40
2025-06-18 17:00:37,107,44
2025-06-18 17:00:38,107,41
2025-06-18 17:00:39,108,46
2025-06-18 17:00:40,108,44
2025-06-18 17:00:41,107,45
2025-06-18 17:00:42,107,44
2025-06-18 17:00:43,108,44
2025-06-18 17:00:44,107,40
2025-06-18 17:00:45,107,45
2025-06-18 17:00:46,108,43
2025-06-18 17:00:47,107,43
2025-06-18 17:00:48,108,43
2025-06-18 17:00:49,107,47
2025-06-18 17:00:50,107,43
2025-06-18 17:00:51,107,47
2025-06-18 17:00:52,108,41
2025-06-18 17:00:53,107,43
2025-06-18 17:00:54,108,44
2025-06-18 17:00:55,107,42
2025-06-18 17:00:56,108,44
2025-06-18 17:00:57,107,44
2025-06-18 17:00:58,108,44
2025-06-18 17:00:59,107,42
2025-06-18 17:01:00,107,47
2025-06-18 17:01:01,108,41
2025-06-18 17:01:02,107,46
2025-06-18 17:01:03,108,43
2025-06-18 17:01:04,107,46
2025-06-18 17:01:05,107,45
2025-06-18 17:01:06,108,44
2025-06-18 17:01:07,107,42
2025-06-18 17:01:08,107,45
2025-06-18 17:01:09,108,46
2025-06-18 17:01:10,107,43
2025-06-18 17:01:11,108,44
2025-06-18 17:01:12,107,42
2025-06-18 17:01:13,108,45
2025-06-18 17:01:14,107,43
2025-06-18 17:01:15,107,45
2025-06-18 17:01:16,108,46
2025-06-18 17:01:17,107,44
2025-06-18 17:01:18,107,41
2025-06-18 17:01:19,108,44
2025-06-18 17:01:20,107,43
2025-06-18 17:01:21,108,42
2025-06-18 17:01:22,107,46
2025-06-18 17:01:23,107,44
2025-06-18 17:01:24,108,44
2025-06-18 17:01:25,108,44
2025-06-18 17:01:26,107,44
2025-06-18 17:01:27,107,43
2025-06-18 17:01:28,107,42
2025-06-18 17:01:29,108,44
2025-06-18 17:01:30,107,43
2025-06-18 17:01:31,108,46
2025-06-18 17:01:32,107,44
2025-06-18 17:01:33,108,46
2025-06-18 17:01:34,107,41
2025-06-18 17:01:35,107,45
2025-06-18 17:01:36,108,44
2025-06-18 17:01:37,107,41
2025-06-18 17:01:38,108,45
2025-06-18 17:01:39,107,44
2025-06-18 17:01:40,107,41
2025-06-18 17:01:41,108,44
2025-06-18 17:01:42,107,44
2025-06-18 17:01:43,108,42
2025-06-18 17:01:44,107,43
2025-06-18 17:01:45,107,45
2025-06-18 17:01:46,108,46
2025-06-18 17:01:47,107,46
2025-06-18 17:01:48,108,44
2025-06-18 17:01:49,107,42
2025-06-18 17:01:50,108,43
2025-06-18 17:01:51,107,44
2025-06-18 17:01:52,107,45
2025-06-18 17:01:53,108,44
2025-06-18 17:01:54,107,45
2025-06-18 17:01:55,108,44
2025-06-18 17:01:56,107,45
2025-06-18 17:01:57,108,42
2025-06-18 17:01:58,107,43
2025-06-18 17:01:59,107,42
2025-06-18 17:02:00,108,44
2025-06-18 17:02:01,107,45
2025-06-18 17:02:02,108,43
2025-06-18 17:02:03,107,44
2025-06-18 17:02:04,108,43
2025-06-18 17:02:05,107,44
2025-06-18 17:02:06,107,42
2025-06-18 17:02:07,108,44
2025-06-18 17:02:08,107,44
2025-06-18 17:02:09,108,44
2025-06-18 17:02:10,107,47
2025-06-18 17:02:11,108,44
2025-06-18 17:02:12,107,43
2025-06-18 17:02:13,108,45
2025-06-18 17:02:14,107,43
2025-06-18 17:02:15,107,41
2025-06-18 17:02:16,108,44
2025-06-18 17:02:17,107,45
2025-06-18 17:02:18,108,42
2025-06-18 17:02:19,107,45
2025-06-18 17:02:20,108,43
2025-06-18 17:02:21,107,42
2025-06-18 17:02:22,107,43
2025-06-18 17:02:23,108,41
2025-06-18 17:02:24,107,45
2025-06-18 17:02:25,108,43
2025-06-18 17:02:26,107,45
2025-06-18 17:02:27,107,43
2025-06-18 17:02:28,108,45
2025-06-18 17:02:29,107,40
2025-06-18 17:02:30,108,44
2025-06-18 17:02:31,107,44
2025-06-18 17:02:32,107,41
2025-06-18 17:02:33,108,41
2025-06-18 17:02:34,107,43
2025-06-18 17:02:35,107,45
2025-06-18 17:02:36,108,46
2025-06-18 17:02:37,107,46
2025-06-18 17:02:38,107,43
2025-06-18 17:02:39,108,46
2025-06-18 17:02:40,107,44
2025-06-18 17:02:41,108,46
2025-06-18 17:02:42,107,44
2025-06-18 17:02:43,108,44
2025-06-18 17:02:44,107,42
2025-06-18 17:02:45,107,47
2025-06-18 17:02:46,108,46
2025-06-18 17:02:47,107,45
2025-06-18 17:02:48,107,42
2025-06-18 17:02:49,108,45
2025-06-18 17:02:50,107,46
2025-06-18 17:02:51,108,44
2025-06-18 17:02:52,107,44
2025-06-18 17:02:53,107,44
2025-06-18 17:02:54,108,45
2025-06-18 17:02:55,107,41
2025-06-18 17:02:56,108,41
2025-06-18 17:02:57,107,45
2025-06-18 17:02:58,107,44
2025-06-18 17:02:59,108,41
2025-06-18 17:03:00,107,41
2025-06-18 17:03:01,107,43
2025-06-18 17:03:02,108,42
2025-06-18 17:03:03,107,44
2025-06-18 17:03:04,108,45
2025-06-18 17:03:05,107,42
2025-06-18 17:03:06,108,48
2025-06-18 17:03:07,107,44
2025-06-18 17:03:08,108,47
2025-06-18 17:03:09,107,44
2025-06-18 17:03:10,107,44
